Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1981,1,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1981,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,19,0,0,0
1981,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,10,59,47,25,26,29,0,0,0,0,0,0,0,0,0,
1981,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,12,3,18,0,46,0,9,5,0,0,3,4,1,82,36,9
1981,6,7,0,0,42,25,63,59,0,0,0,0,0,21,5,1,0,0,9,0,19,73,56,38,27,5,14,69,2,93,77,
1981,7,52,82,8,74,16,10,25,3,32,17,9,26,41,30,58,94,25,0,27,3,1,3,10,1,0,25,46,30,13,68,10
1981,8,4,0,0,0,3,0,0,26,38,20,64,6,9,19,18,55,12,21,0,0,0,39,37,21,4,25,0,11,1,0,12
1981,9,45,68,4,15,20,177,37,3,7,1,0,33,0,0,0,0,0,17,0,0,0,0,0,0,0,5,4,1,0,1,
1981,10,20,12,0,0,0,0,0,5,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,
1981,12,0,0,0,0,0,0,0,0,2,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1982,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,4,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,12,20,0,13,0,0,22,0,0,26,15,0,0,0,0,
1982,5,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1982,6,0,32,0,0,2,15,0,0,3,17,49,10,3,29,34,12,91,93,76,21,69,0,10,211,193,73,120,33,1,2,
